iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
75,-0.09122908,9.384681940078735,1.578442,1.2814796,1.2459036,1.0705673,1.231087,1.3121027,1.2740036,1.3737811,1.5778062,1.2393152,1.2365261,0.9926933,1.2019992,1.2993907,1.2376239,1.3690662
76,-0.06247139,9.326764822006226,1.5769446,1.2806568,1.2462023,1.0707939,1.2312,1.3138474,1.2750211,1.3767402,1.5761793,1.2365038,1.236724,0.99393326,1.2017175,1.299161,1.2381916,1.3710873
77,-0.05625534,9.503576755523682,1.5772676,1.2817323,1.2449162,1.0690305,1.2303637,1.3144579,1.2742076,1.374307,1.5789582,1.240658,1.2380481,0.9949772,1.2019633,1.2988062,1.2375103,1.3691247
78,-0.057678103,9.244661569595337,1.5758256,1.2782415,1.2447475,1.0691581,1.2308127,1.3145108,1.2749908,1.3763015,1.573899,1.2360643,1.2337637,0.99216336,1.2012184,1.2980639,1.23745,1.3688415
79,-0.06311631,9.363941192626953,1.5778545,1.2808367,1.2473375,1.0709795,1.2314093,1.3148191,1.2747086,1.3767055,1.5750326,1.2381277,1.2373484,0.99504226,1.2017407,1.2988206,1.238405,1.3715999
80,-0.07136607,9.253229141235352,1.5776459,1.2814828,1.2434046,1.0706818,1.2310882,1.3148007,1.2749817,1.3763219,1.5780447,1.2400758,1.2331595,0.99372625,1.2018825,1.2992759,1.2367119,1.3697377
81,-0.09927249,9.545018434524536,1.5742843,1.2771991,1.2444445,1.0693965,1.2309743,1.3144395,1.2750332,1.3767378,1.5779388,1.2388715,1.2371778,0.99454325,1.2004533,1.2970405,1.2377075,1.3694782
82,-0.04892397,9.277989625930786,1.5770527,1.2804667,1.2470566,1.0706377,1.2313772,1.314707,1.2741296,1.3769492,1.5789216,1.2404145,1.2381119,0.99481267,1.2012959,1.2981128,1.23845,1.3715847
83,-0.11689532,9.242046594619751,1.5788032,1.2822493,1.2474493,1.0709264,1.2309631,1.3147949,1.2747859,1.3769165,1.5790011,1.2405025,1.238112,0.9952638,1.2017963,1.2987064,1.2384679,1.3716788
84,-0.062430978,9.588256120681763,1.576235,1.2804345,1.2459347,1.0705978,1.2306867,1.3142076,1.274596,1.376548,1.5757303,1.2374171,1.2357407,0.99406606,1.2014401,1.2990553,1.2383634,1.3711903
85,-0.055479646,8.97501802444458,1.5780447,1.2805187,1.2452042,1.0706146,1.2312307,1.3144352,1.2749801,1.3761657,1.5765504,1.2396612,1.2365781,0.9933521,1.201418,1.297557,1.2369043,1.3701134
86,-0.11098838,9.216410875320435,1.5768251,1.2826561,1.2474527,1.0709956,1.2295185,1.3141915,1.2750809,1.3769498,1.5785232,1.2398982,1.2381114,0.995272,1.2003983,1.2993768,1.2384722,1.371675
87,-0.06917274,9.186507225036621,1.5756866,1.276951,1.2443116,1.0688074,1.2300321,1.3119185,1.2748394,1.3757687,1.5756578,1.2382666,1.2365493,0.9942224,1.2003839,1.2955565,1.2369349,1.369432
88,-0.06922269,12.044515609741211,1.5771954,1.2818469,1.2459109,1.0710651,1.231349,1.3146982,1.2749441,1.376902,1.5764453,1.2391609,1.2363653,0.994468,1.2011166,1.2985941,1.2382295,1.3712463
89,-0.025718093,9.383325815200806,1.5770801,1.28012,1.246438,1.0710303,1.2311616,1.3147249,1.275088,1.3768814,1.5758284,1.2385238,1.2374617,0.9949496,1.2020288,1.2999887,1.2384615,1.3713961
90,-0.052628636,9.33211898803711,1.5702512,1.2755183,1.2420443,1.0680859,1.2298062,1.3143246,1.2748784,1.37631,1.5745144,1.2367148,1.2355274,0.99274975,1.1983776,1.2953408,1.2361338,1.3694087
91,-0.05761659,9.28545331954956,1.5740466,1.2793248,1.2443569,1.0694863,1.2313876,1.3147717,1.2750616,1.3767799,1.5757765,1.2388654,1.2371858,0.9949512,1.2002463,1.2971438,1.2378435,1.3710619
92,-0.04999745,9.285854816436768,1.5786425,1.2825595,1.2473035,1.0699443,1.2308148,1.314467,1.2749596,1.3768529,1.5774403,1.2400248,1.2378666,0.99504155,1.1989523,1.2977682,1.2382421,1.3714349
93,-0.04519546,9.17483901977539,1.5760956,1.2816074,1.2445219,1.0706207,1.2304296,1.3143485,1.2748256,1.3766878,1.574582,1.238663,1.2342554,0.99436146,1.2002269,1.2975641,1.2365673,1.3695455
94,-0.0746063,9.086181402206421,1.5720603,1.276984,1.2413065,1.0694498,1.2303479,1.3147007,1.2750822,1.3765848,1.5695891,1.2358272,1.232211,0.9915804,1.2000337,1.297109,1.2368703,1.370183
95,-0.11343205,9.408769369125366,1.5777063,1.2800239,1.2471207,1.0706271,1.2314343,1.3147141,1.273857,1.376522,1.5767227,1.2384635,1.2372864,0.9939054,1.2015933,1.299309,1.2384863,1.3716958
96,-0.083734035,9.374861001968384,1.577769,1.2819915,1.2462152,1.070806,1.2314337,1.3145881,1.2745278,1.3765956,1.5788163,1.2406204,1.238112,0.99496657,1.2018437,1.2983096,1.2382464,1.3709735
97,-0.09458363,9.352819919586182,1.5769154,1.2811925,1.2459131,1.0706426,1.2314221,1.3148183,1.2747623,1.3766618,1.5791323,1.2403682,1.2380906,0.9953205,1.2019844,1.2996302,1.238398,1.3713924
98,-0.064823866,9.209256887435913,1.5785612,1.2822738,1.2457137,1.0707388,1.2314167,1.314791,1.2750868,1.3764738,1.5794196,1.2405301,1.2373095,0.9953201,1.2020321,1.2999111,1.2379316,1.3708658
99,-0.029209256,9.38949704170227,1.5747142,1.2792096,1.2435027,1.0695996,1.2292309,1.3120637,1.273065,1.373783,1.5772865,1.2387619,1.2359085,0.9940152,1.1996909,1.2971469,1.2356964,1.3688667
100,-0.10044479,9.392494201660156,1.576147,1.2818873,1.2448076,1.0708772,1.2312777,1.3147827,1.2747658,1.3764048,1.5713513,1.2381951,1.2339743,0.99434805,1.2000598,1.2984244,1.2362381,1.3683544
101,-0.08089101,9.452816724777222,1.578036,1.2814928,1.2459552,1.0706156,1.2297796,1.3131315,1.2741603,1.3756852,1.5755931,1.2372503,1.2360476,0.9922572,1.2013532,1.2989705,1.2368952,1.3706402
102,-0.07745981,9.427645444869995,1.5711323,1.2773719,1.2425506,1.069999,1.2311448,1.3148177,1.2750772,1.3769455,1.5754528,1.2383626,1.2356035,0.99356276,1.1995435,1.2982147,1.2380149,1.3712637
103,-0.08829355,9.570610046386719,1.5784934,1.2819306,1.2472305,1.0693948,1.2310319,1.3141276,1.274842,1.3767262,1.5788844,1.2399807,1.2379464,0.9947794,1.201597,1.300008,1.2383237,1.3715633
